EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
18,2674,2674,161,61,82,114,33,,0,"Tue, 17 May 2016 13:19:00 +0900",21.42857,22.85714,21.42857,118.5714,0,1,0,0,2.857143,17.14286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,5,0,0,10,20,20,1
0,13650,27090,123,12,70,82,59,,0,"Tue, 17 May 2016 13:20:00 +0900",5,8,8,59,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,0,20,15,15,1
0,0,0,130,0,59,59,59,,0,"Tue, 17 May 2016 13:21:00 +0900",0,0,2,58,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,15,15,15,1
0,0,0,150,0,139,139,139,,0,"Tue, 17 May 2016 13:22:00 +0900",2,1,1,43,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,0,20,15,15,1
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:23:00 +0900",0,0,4,79,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,15,15,15,1
2,7201.667,21340,138,15,105,201,31,,0,"Tue, 17 May 2016 13:24:00 +0900",1.034483,1.034483,7.241379,64.13793,0,2,0,0,0,5.172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,5,0,0,15,15,15,1
2,357.6667,370,195,65,101,114,87,,0,"Tue, 17 May 2016 13:25:00 +0900",0,1.034483,8.275862,68.27586,0,2,0,0,1.034483,2.068965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,15,15,15,1
1,1406.167,1850,178,71,116,140,80,,0,"Tue, 17 May 2016 13:26:00 +0900",1.016949,5.084746,9.152542,74.23729,0,2,0,0,1.016949,4.067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,15,15,15,1
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:27:00 +0900",0,0,4,70,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,15,15,15,1
0,0,0,150,0,65,65,65,,0,"Tue, 17 May 2016 13:28:00 +0900",0,1,8,76,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,15,15,15,1
0,0,0,150,0,41,41,41,,0,"Tue, 17 May 2016 13:29:00 +0900",0,0,7,69,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,15,15,15,1
0,0,0,150,0,68,68,68,,0,"Tue, 17 May 2016 13:30:00 +0900",1,4,9,71,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,15,15,15,1
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:31:00 +0900",0,0,9,67,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,15,15,15,1
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:32:00 +0900",0,0,12,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,15,15,15,0
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:33:00 +0900",0,0,6,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,15,15,15,0
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:34:00 +0900",0,0,4,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,15,15,15,0
0,0,0,370,0,36,36,36,,0,"Tue, 17 May 2016 13:35:00 +0900",0,0,5,65,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,15,15,15,3
0,0,0,0,0,0,0,0,,0,"Tue, 17 May 2016 13:36:00 +0900",0,0,4,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,15,15,15,0
10,7333.333,21270,160,28,103,167,48,,0,"Tue, 17 May 2016 13:37:00 +0900",4.8,6,7.2,61.2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,15,0,10,3
0,2560,3920,220,79,39,43,33,,0,"Tue, 17 May 2016 13:38:00 +0900",0,1,4,117,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,10,10,10,3
6,5553,25020,139,25,65,110,34,,0,"Tue, 17 May 2016 13:39:00 +0900",6.666667,7.777778,6.666667,126.6667,0,3,0,0,3.333333,11.11111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,5,10,20,3
